Query_ID	Doc_ID	Rank	Score
1	184	1	8.381854265937353
1	486	2	7.3243237476706335
1	13	3	7.025975711186625
1	12	4	6.565312719651797
1	1268	5	6.559347661465843
1	51	6	5.526350035916582
1	14	7	5.08404008531768
1	878	8	5.002381061231434
1	1144	9	4.475690185162622
1	172	10	4.409529197724609
1	792	11	4.37066965139791
1	1361	12	4.296331486555234
1	588	13	4.136648726377191
1	141	14	4.118747783097861
1	747	15	4.097268071917455
1	573	16	3.94254881202522
1	195	17	3.9033519979024653
1	435	18	3.8043430068277253
1	311	19	3.730301039712396
1	1362	20	3.721544145867343
2	12	1	11.772360499799467
2	746	2	6.657915734727637
2	792	3	6.173242012314841
2	14	4	5.98249275155948
2	141	5	5.532860001966224
2	172	6	5.508731280659416
2	51	7	5.492105596530198
2	1089	8	5.477820567156189
2	724	9	5.409906138762649
2	1170	10	5.12357646359739
2	1169	11	5.003443775600823
2	884	12	4.6167647317954765
2	1263	13	4.474531684567832
2	1042	14	4.451083099817398
2	36	15	4.282215833833165
2	700	16	4.242473207690214
2	606	17	4.227418355751125
2	726	18	4.226432509833933
2	810	19	4.222545650781438
2	588	20	4.142392824249339
3	5	1	7.96790212939399
3	399	2	7.408626820972069
3	181	3	7.067340893835855
3	144	4	6.437389996481809
3	485	5	5.826924108455405
3	542	6	5.818101017332712
3	826	7	4.840582195690969
3	828	8	4.725649112367895
3	980	9	4.669376136082618
3	251	10	4.578339371538075
3	623	11	4.290614559096901
3	944	12	4.276333128916837
3	350	13	4.261458342486748
3	425	14	4.1046837840286
3	329	15	4.014051326150813
3	579	16	3.977423019001555
3	344	17	3.9581089174375754
3	547	18	3.8824545553981
3	476	19	3.8255486546388866
3	1072	20	3.7909093719682363
4	166	1	10.649800551673522
4	488	2	8.304120864854426
4	185	3	7.910661528960038
4	1189	4	7.555861153820994
4	1275	5	6.888405838044001
4	1061	6	6.715732045821207
4	1255	7	6.329163877902838
4	236	8	6.3209359750754235
4	401	9	6.268905501195554
4	1123	10	6.216246793356928
4	575	11	6.1840633132479415
4	1085	12	6.144667658976925
4	167	13	6.110545150209052
4	1252	14	6.074440920427114
4	1312	15	6.0238983031704905
4	317	16	5.891030312817796
4	576	17	5.774695225439863
4	574	18	5.7524576068671385
4	1296	19	5.634501516667683
4	332	20	5.55044269812538
5	103	1	5.743364409022712
5	1032	2	5.0797527559718825
5	943	3	4.523449258703904
5	1296	4	4.500741865022228
5	746	5	4.103545036895103
5	1272	6	3.9989823948139014
5	1379	7	3.8611490823390833
5	625	8	3.8244196975827967
5	28	9	3.6802245619777625
5	172	10	3.656059887372553
5	540	11	3.5956517584619974
5	650	12	3.5421252532738112
5	1295	13	3.517055216129447
5	488	14	3.4668395092818804
5	36	15	3.4322435055573646
5	401	16	3.41395205473875
5	552	17	3.35525710002211
5	828	18	3.299974239429787
5	1391	19	3.1815729874848224
5	813	20	3.039830004778073
6	491	1	6.266041442252054
6	257	2	5.415922273846929
6	315	3	4.915353038399449
6	148	4	4.33754109571118
6	121	5	4.308213155478725
6	610	6	4.197535766289331
6	651	7	4.164909843354252
6	251	8	4.1051998650733825
6	344	9	4.008103156273595
6	296	10	3.9636042446114916
6	767	11	3.884663888420845
6	294	12	3.8706439409422186
6	558	13	3.834429485610812
6	355	14	3.786765468708307
6	544	15	3.725140767059463
6	386	16	3.722392063704546
6	1110	17	3.716306717604725
6	406	18	3.6698833977828658
6	1273	19	3.666790537513159
6	1364	20	3.66188694592878
7	492	1	16.141682080598624
7	122	2	10.389190937442761
7	56	3	9.459636917261305
7	1231	4	9.31945406288266
7	57	5	8.809058210869802
7	1040	6	7.85597963333197
7	232	7	7.669684951952123
7	124	8	7.504283031099083
7	973	9	7.4324277142555335
7	248	10	7.288598396604254
7	434	11	6.860132180261431
7	1307	12	6.813993168074662
7	225	13	6.62581255038308
7	234	14	6.435224953229512
7	197	15	6.412634159560095
7	1352	16	6.405103693983838
7	443	17	6.223129042884973
7	498	18	6.129246023507242
7	1006	19	6.030522357533057
7	801	20	6.024371658360426
8	122	1	9.830777102697612
8	492	2	7.235287877141693
8	232	3	6.984938923036723
8	433	4	6.398625002689368
8	69	5	6.287761677970787
8	1352	6	6.2790648666635125
8	556	7	6.206823217354824
8	1231	8	5.788354708192228
8	124	9	5.718523649681224
8	1193	10	5.393828627755187
8	801	11	5.371334947913893
8	947	12	5.3483806102777
8	988	13	5.2723346679300835
8	461	14	5.234335087683672
8	815	15	5.090722566050218
8	923	16	5.072590237194081
8	248	17	5.0585883162691605
8	197	18	5.0326286689836035
8	48	19	4.921232537660975
8	443	20	4.91818203257214
9	45	1	5.666318041383472
9	102	2	4.348320667184364
9	270	3	4.24147141357507
9	303	4	3.868738845752227
9	21	5	3.7803291123786096
9	1258	6	3.4669702774601254
9	1002	7	3.3071492333640915
9	101	8	3.1558583441321235
9	1264	9	3.107842977465
9	5	10	2.973283269023083
9	168	11	2.928334292945035
9	564	12	2.923472268582519
9	554	13	2.841967645073889
9	566	14	2.7792148698324057
9	1213	15	2.755822400946674
9	873	16	2.753899384380446
9	120	17	2.7166261945127355
9	398	18	2.7140839212520778
9	46	19	2.705585485572138
9	269	20	2.668627649763905
10	493	1	9.891667460575766
10	302	2	6.906045499876773
10	1199	3	6.673731190801451
10	949	4	6.324995942965867
10	524	5	6.117505554196731
10	691	6	5.912554573397651
10	1286	7	5.794903939397676
10	1009	8	5.781203196855181
10	1214	9	5.591377469144417
10	1010	10	5.560239588396022
10	1264	11	5.509321809397015
10	781	12	5.432496954214911
10	332	13	5.045679521499508
10	421	14	5.025853340205099
10	1143	15	4.98570255873887
10	405	16	4.935273704178713
10	583	17	4.926638652311701
10	185	18	4.9225610272997615
10	1274	19	4.901623622797651
10	1319	20	4.8781141634374325
11	495	1	10.65408946034682
11	110	2	6.642898970317372
11	654	3	6.460312946512412
11	72	4	5.995275000670972
11	667	5	5.962373847516112
11	1356	6	5.699148020981384
11	304	7	5.427063848005512
11	262	8	5.4218560678215715
11	472	9	5.4178408464948715
11	28	10	5.3622663873901075
11	1238	11	5.278059842885109
11	370	12	5.242990235176231
11	2	13	5.213476161369857
11	1327	14	5.170931834103147
11	305	15	5.131202368542123
11	273	16	4.931721340910035
11	341	17	4.909910970141619
11	192	18	4.898632136636098
11	473	19	4.855642422714236
11	1310	20	4.7827485723217915
12	624	1	9.431520332530479
12	543	2	6.2545251338445365
12	649	3	5.527089919064329
12	650	4	5.337724906739528
12	1232	5	5.094224138965367
12	506	6	4.519267295203713
12	1164	7	4.232066094749492
12	1223	8	4.205561611566943
12	1334	9	4.084111361590083
12	1332	10	3.945619310759466
12	1221	11	3.9330625007449536
12	806	12	3.912219204943046
12	982	13	3.8647462013742517
12	39	14	3.8041544502055022
12	749	15	3.7585375039486992
12	966	16	3.7054344255311644
12	671	17	3.6955563197800942
12	1144	18	3.6714437764648595
12	1209	19	3.6395529124805917
12	245	20	3.6047237632076143
13	496	1	8.424727885832594
13	903	2	5.14974793731726
13	520	3	4.5791567050533
13	1268	4	3.584842124416356
13	38	5	3.5794596934243685
13	440	6	3.5561441934354097
13	313	7	3.5300662601899555
13	199	8	3.417765101557367
13	643	9	3.352895099788361
13	880	10	3.0931544599877387
13	415	11	2.7166733792485074
13	797	12	2.686667374337148
13	660	13	2.567078918015037
13	1099	14	2.466647457369829
13	503	15	2.3094818913487565
13	1242	16	2.2891336491573457
13	468	17	2.275656776161421
13	526	18	2.274968150333648
13	801	19	2.259803717972239
13	469	20	2.1709322452595337
14	64	1	6.6920435456193275
14	256	2	4.539415931729525
14	170	3	4.34279842526229
14	65	4	4.285560043485328
14	132	5	4.2135357847199115
14	439	6	4.146229956788082
14	1364	7	4.128191189294142
14	291	8	3.884787609619769
14	402	9	3.879513536795435
14	334	10	3.6557437579896814
14	568	11	3.652117905204607
14	903	12	3.647845841690369
14	1157	13	3.5569230518825625
14	319	14	3.5084249453065603
14	335	15	3.472087406098619
14	798	16	3.382519981939496
14	308	17	3.3647259287475086
14	169	18	3.214329025801773
14	345	19	3.209487005890288
14	1228	20	3.166813976202187
15	462	1	5.543454493163386
15	463	2	4.569878637092759
15	1097	3	3.61558202572643
15	761	4	3.5797076784399904
15	1117	5	3.293358251221561
15	1025	6	3.245555346739105
15	553	7	3.1412663079253016
15	1099	8	3.073025567660731
15	1098	9	3.0602911885523945
15	82	10	2.999733048522992
15	542	11	2.9658227432192668
15	1279	12	2.956683680890598
15	1043	13	2.896573203730612
15	817	14	2.8152047954533312
15	1340	15	2.8126758544751045
15	1065	16	2.61338535246021
15	1096	17	2.5805735448038116
15	866	18	2.5037558650546115
15	982	19	2.4281262514127366
15	1027	20	2.403097807853208
16	498	1	10.962332068080245
16	106	2	7.6006224864219085
16	1255	3	6.698363712054935
16	869	4	6.346620168659685
16	1301	5	6.3317023262525325
16	927	6	5.978225929318046
16	1259	7	5.884156099764531
16	1108	8	5.791840899810188
16	266	9	5.7171281378760375
16	1006	10	5.572109624735035
16	801	11	5.548709002633032
16	93	12	5.409544238605338
16	410	13	5.295118475539828
16	916	14	5.106228621093471
16	1280	15	4.947927951863246
16	528	16	4.883247062679729
16	814	17	4.8141395208556155
16	494	18	4.7345146189288005
16	94	19	4.704603842302033
16	360	20	4.6408377191256465
17	1108	1	8.24645341867428
17	1301	2	7.725093661878028
17	916	3	7.638529349227
17	106	4	7.066582061299052
17	266	5	6.581090284728944
17	801	6	6.5727708106758795
17	410	7	6.532644242302352
17	498	8	6.529235793390706
17	445	9	6.4768635834169
17	700	10	6.226465176281511
17	1255	11	6.1890607276046925
17	1281	12	6.117615844349675
17	2	13	5.790199551683746
17	927	14	5.634781721734052
17	577	15	5.608477042002656
17	1304	16	5.585500076237534
17	94	17	5.577292521180807
17	1259	18	5.2961482890954645
17	456	19	5.269052059259678
17	992	20	5.248280676434117
18	248	1	7.983125791676974
18	234	2	7.82394216912433
18	498	3	7.741807805462391
18	56	4	7.483157517863822
18	197	5	7.4591249689679415
18	232	6	6.730099852148761
18	1005	7	6.291208055560441
18	57	8	6.238635216619384
18	122	9	6.086344731114964
18	354	10	5.966956372964351
18	225	11	5.952603158354542
18	1114	12	5.8734148152861545
18	1006	13	5.816095040150481
18	124	14	5.7855430150676375
18	492	15	5.752314623529558
18	927	16	5.656251603401857
18	231	17	5.616480146539544
18	1352	18	5.403506986216716
18	1104	19	5.4019991118583635
18	1231	20	5.334833718586886
19	82	1	6.649716919466279
19	1346	2	5.891349903534081
19	706	3	5.486302840236323
19	554	4	5.245269386390018
19	1279	5	4.924757748317537
19	1296	6	4.863748371725006
19	1219	7	4.753581176248401
19	716	8	4.699938604824792
